,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct
4806,University of Connecticut (UConn),English,0.99,2016-2017,1st,,1,2016,24107,24107,0,0,24107,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4807,University of Denver (DU),English,0.78,2016-2017,1st,,1,2016,17500,17500,0,0,17500,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4808,University of Colorado - Boulder (UCB),English,0.86,2016-2017,1st,,1,2016,22000,22000,0,0,22000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4809,University of California - Santa Barbara (UCSB),English,0.76,2016-2017,1st,,1,2016,20000,20000,0,0,20000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4810,University of California - Riverside (UCR),English,0.83,2016-2017,1st,,1,2016,20000,20000,0,0,20000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4811,University of California - Davis (UCD),English,0.83,2016-2017,1st,,1,2016,20000,20000,0,0,20000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4812,University of California - Berkeley,English,1.08,2016-2017,1st,,1,2016,30000,30000,0,0,30000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4813,University of California - Berkeley,English,1.15,2016-2017,1st,,1,2016,32000,32000,0,0,32000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4814,University of California - Los Angeles (UCLA),English,0.93,2016-2017,1st,,1,2016,24000,24000,0,0,24000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4816,University of Southern California (USC),English,1.16,2016-2017,1st,Corrected amount.,1,2016,30000,30000,0,0,30000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4817,University of Southern California (USC),English,0.77,2016-2017,1st,,1,2016,20000,20000,0,0,20000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4818,Claremont Graduate University (CGU),English,0.77,2016-2017,1st,,1,2016,20000,20000,0,0,20000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
4828,University of Cincinnati (UC),Material Science,0.61,2017-2018,2nd,,2,2017,11685,0,14400,1500,15900,Material Science,Other,high,4215,4215
4829,University of California - San Diego (UCSD),Mathematics,0.76,2017-2018,2nd,,2,2017,20000,0,20000,0,20000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0
4831,Tufts University (TU),Biology,1.13,2016-2017,4th,Paid 12 month salary but summer pay comes in two lump sums.,4,2016,31507,31507,0,0,31507,Biology,Biology,low,0,0
4832,Tufts University (TU),Physics,1.06,2016-2017,2nd,,2,2016,29500,29500,0,0,29500,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0
4833,Stony Brook University - SUNY,computer science,1.2,2017-2018,1st,,1,2017,33560,0,23560,10000,33560,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0
4834,Louisiana State University - Baton Rouge,Biological Sciences,1.38,2017-2018,1st,Board of Regents Fellowship,1,2017,30000,30000,0,0,30000,Biology,Biology,low,0,0
4835,University of Miami (UM),Mechanical Engineering,1.13,2016-2017,1st,,1,2016,27000,27000,0,0,27000,Engineering,Engineering,low,0,0
4836,University of California - Berkeley,Sociology,1.08,2017-2018,1st,,1,2017,30000,0,28000,2000,30000,HistPolSoc,HistPolSoc,high,0,0
4837,North Carolina State University (NCSU),microbiology,0.68,2016-2017,3rd,,3,2016,15500,0,18000,0,18000,Biology,Biology,high,2500,2500
4839,Dartmouth College,MCB,1.19,2017-2018,1st,,1,2017,29500,29500,0,0,29500,MCB,Other,low,0,0
