,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct
5996,Morgan State University (MSU),Physics,0.7,2016-2017,1st,,1,2016,18000,0,18000,0,18000,PhysicsAndAstronomy,PhysicsAndAstronomy,high,0,0
5997,Johns Hopkins University (JHU),Sociology,1.11,2016-2017,1st,,1,2016,28500,28500,0,0,28500,HistPolSoc,HistPolSoc,low,0,0
5998,Duke University (DU),Sociology,1.27,2016-2017,1st,,1,2016,28212,0,22712,5500,28212,HistPolSoc,HistPolSoc,high,0,0
5999,Pennsylvania State University (Penn State),College of Communications,0.89,2016-2017,1st,"We get paid on a ten month schedule with a small number of competitive summer grants OR adjunct positions available. Student health insurance covers many, but not all, procedures. Not equitable with the cost of living in the area; wealthy undergrads drive up rent costs considerably without rent caps in place.",1,2016,20000,0,17000,3000,20000,College of Communications,Other,high,0,0
6000,North Carolina State University (NCSU),MEAS,0.65,2017-2018,1st,,1,2017,14843,0,17185,0,17185,MEAS,Other,high,2342,2342
6001,University of Pennsylvania,engineering,1.27,2017-2018,1st,,1,2017,30500,30500,0,0,30500,engineering,Other,low,0,0
6003,Texas Tech University (TTU),Chemical Engineering,1.43,2017-2018,1st,,1,2017,29000,29000,0,0,29000,Engineering,Engineering,low,0,0
6005,Brigham Young University (BYU),Chemical Engineering,1.11,2016-2017,2nd,No health coverage,2,2016,23000,23000,0,0,23000,Engineering,Engineering,low,0,0
6006,University of Texas - Dallas (UTD),Finance,1.67,2017-2018,1st,Plus annual research budget. ,1,2017,36000,36000,0,0,36000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0
6007,University of Pittsburgh,Finance,1.3,2017-2018,1st,Health insurance is covered. Fifth year funding is lower,1,2017,26930,26930,0,0,26930,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0
6010,Northwestern University (NU),Learning Sciences,1.27,2017-2018,1st,Plus full health subsidy,1,2017,30780,30780,0,0,30780,Learning Sciences,Other,low,0,0
6011,Purdue University - West Lafayette,Aeronautics and Astronautics,1.32,2016-2017,1st,Purdue Doctoral Fellowship,1,2016,28000,30000,0,0,30000,Aeronautics and Astronautics,Other,low,2000,2000
6013,Ohio State University (OSU),ece,1.25,2016-2017,1st,,1,2016,25000,25000,0,0,25000,ece,Other,low,0,0
6014,University of Southern California (USC),Education,1.24,2017-2018,1st,,1,2017,32000,32000,0,0,32000,Education,Education,low,0,0
6015,Ohio State University (OSU),Education,0.75,2017-2018,2nd,,2,2017,15000,0,15000,0,15000,Education,Education,high,0,0
6016,Ohio State University (OSU),economics,1.21,2016-2017,1st,,1,2016,24220,25200,0,0,25200,BusinessAndManagement,BusinessAndManagement,low,980,980
6018,Washington University in St. Louis (Wash U),Biomedical Engineering,1.34,2016-2017,1st,,1,2016,27658,29500,0,0,29500,Engineering,Engineering,low,1842,1842
6019,Baylor College of Medicine,Biochemistry,1.37,2016-2017,1st,"Tuition waiver, health care (health and dental, no vision) included",1,2016,30000,30000,0,0,30000,Chemistry,Chemistry,low,0,0
6020,Virginia Tech,ISE,0.07,2016-2017,3rd,,3,2016,1577,0,1577,0,1577,ISE,Other,low,0,0
6021,Massachusetts Institute of Technology (MIT),Mechanical Engineering,1.32,2016-2017,3rd,,3,2016,37000,0,33000,7000,40000,Engineering,Engineering,high,3000,3000
6022,Massachusetts Institute of Technology (MIT),Mechanical Engineering,1.16,2016-2017,1st,,1,2016,32460,32616,0,0,32616,Engineering,Engineering,low,156,156
6023,University of Mississippi (Ole Miss),Psychology,1.15,2017-2018,1st,"The first year included a supplement that will likely be absent in future years. Base rate for years 2-5 will roughly be between $18,000-21,000.",1,2017,25000,25000,0,0,25000,HistPolSoc,HistPolSoc,low,0,0
6024,University of Notre Dame (ND),Political Science ,1.51,2017-2018,1st,,1,2017,31000,31000,0,0,31000,HistPolSoc,HistPolSoc,low,0,0
6025,University of Texas - Austin (UT),Political Science ,1.36,2017-2018,1st,,1,2017,31000,31000,0,0,31000,HistPolSoc,HistPolSoc,low,0,0
6026,Northwestern University (NU),Political Science ,1.27,2016-2017,1st,,1,2016,30850,30850,0,0,30850,HistPolSoc,HistPolSoc,low,0,0
6027,University of Notre Dame (ND),Political Science ,1.51,2016-2017,5th,,5,2016,31000,31000,0,0,31000,HistPolSoc,HistPolSoc,low,0,0
6028,University of California - Davis (UCD),Linguistics,0.8,2016-2017,1st,,1,2016,19250,0,20050,0,20050,LinguisticsAndCommunication,LinguisticsAndCommunication,high,800,800
6029,Rensselaer Polytechnic Institute (RPI),Chemistry and Chemical Biology,1.23,2017-2018,1st,,1,2017,28026,29334,0,0,29334,Chemistry and Chemical Biology,Other,low,1308,1308
6030,University of Connecticut (UConn),pharmacy,0.99,2017-2018,1st,,1,2017,24000,24000,0,0,24000,pharmacy,Other,low,0,0
6031,Ohio State University (OSU),Statistics,0.95,2016-2017,1st,,1,2016,19120,0,19620,0,19620,MathematicsAndComputer Science,MathematicsAndComputer Science,high,500,500
6032,University of Minnesota - Twin Cities (UM),Statistics,0.94,2016-2017,1st,,1,2016,21500,22000,0,0,22000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,500,500
6033,University of California - Santa Barbara (UCSB),Mathematics,0.75,2017-2018,1st,"Minimum of $20,050  for 50% time TA duties (approximately 16 hours/week) for 5 years. Can receive funding for a 6th year, if necessary. Summer assistantships are ""readily available"" for students. An estimated $350/quarter fees during the first year, and awarded a ""fees fellowship"", so there are no expected additional fees in the remaining years.",1,2017,19700,0,20050,0,20050,MathematicsAndComputer Science,MathematicsAndComputer Science,high,350,350
6035,University of Alabama - Birmingham (UAB),Biomedical Engineering,1.07,2016-2017,1st,,1,2016,23000,23000,0,0,23000,Engineering,Engineering,low,0,0
6036,University of Iowa (UI),Civil and environmental engineering,1.22,2016-2017,1st,,1,2016,27000,27000,0,0,27000,Civil and environmental engineering,Other,low,0,0
6038,University of California - San Diego (UCSD),Mechanical and Aerospace,1.27,2016-2017,1st,,1,2016,33655,33655,0,0,33655,Mechanical and Aerospace,Other,low,0,0
6039,Cornell University (CU),Biological and Biomedical Sciences,1.79,2016-2017,1st,Cornell pays DVMs (veterinarians) on the NIH post-doc scale,1,2016,43500,43500,0,0,43500,Biology,Biology,low,0,0
6040,Purdue University - West Lafayette,English,0.8,2017-2018,1st,,1,2017,17000,0,17000,0,17000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0
6041,University of North Carolina - Charlotte (UNCC),Math,0.62,2017-2018,1st,,1,2017,14150,15500,0,0,15500,MathematicsAndComputer Science,MathematicsAndComputer Science,low,1350,1350
6042,Georgetown University,Economics,0.99,2016-2017,2nd,,2,2016,30600,0,27000,4000,31000,BusinessAndManagement,BusinessAndManagement,high,400,400
6044,Columbia University (CU),Applied Physics and Applied Mathematics,1.61,2016-2017,5th,,5,2016,48000,48000,0,0,48000,Applied Physics and Applied Mathematics,Other,low,0,0
6045,University of Illinois - Chicago (UIC),Physics,0.72,2017-2018,1st,,1,2017,17565,0,17565,0,17565,PhysicsAndAstronomy,PhysicsAndAstronomy,high,0,0
6047,University of Texas - Austin (UT),Aerospace Engineering,1.07,2017-2018,1st,"GRA position, full tuition and fee waiver plus Health Insurance",1,2017,24500,24500,0,0,24500,Engineering,Engineering,low,0,0
6048,Louisiana State University - Baton Rouge,Chemical Engineering,1.02,2017-2018,1st,No health insurance subsidy in mentioned in the offer.,1,2017,22100,25100,0,0,25100,Engineering,Engineering,low,3000,3000
6049,Auburn University (AU),Chemical Engineering,1.11,2017-2018,1st,$900 health insurance subsidy. Rest ($1041) of the amount will have to be paid by the graduate student. ,1,2017,24000,24000,0,0,24000,Engineering,Engineering,low,0,0
6050,University of Utah,Chemical Engineering,1.26,2017-2018,1st,Graduate Fellowship. 80% health insurance will be paid by the university.,1,2017,28000,28000,0,0,28000,Engineering,Engineering,low,0,0
6051,University of Pennsylvania,Bioengineering,1.29,2016-2017,2nd,,2,2016,31000,31000,0,0,31000,Engineering,Engineering,low,0,0
6052,Thomas Jefferson University,Immunology and microbial pathogenesis ,1.17,2016-2017,1st,This is based off the offer letter I received and the website listed fees. I'm accepting another university's offer.  ,1,2016,28110,29000,0,0,29000,Immunology and microbial pathogenesis ,Other,low,890,890
6053,Pennsylvania State University (Penn State),Engineering,1.51,2016-2017,1st,,1,2016,34000,0,30000,4000,34000,Engineering,Engineering,high,0,0
6054,University of California - San Diego (UCSD),Sociology,0.76,2016-2017,1st,,1,2016,20000,0,20000,0,20000,HistPolSoc,HistPolSoc,high,0,0
6057,University of Virginia (UVA),Classics,0.96,2017-2018,1st,"$18k/academic year, $4k/summer; five years guaranteed. First and fifth year fellowship.",1,2017,22000,0,18000,4000,22000,ArtsAndTheology,ArtsAndTheology,high,0,0
6058,University of California - San Diego (UCSD),Scripps,1.28,2016-2017,3rd,,3,2016,34000,34000,0,0,34000,Scripps,Other,low,0,0
6060,University of Alabama (UA),Health Sciences,0.64,2016-2017,1st,,1,2016,13400,0,13500,0,13500,Health Sciences,Other,high,100,100
6061,Rice University,CHBE,1.26,2016-2017,1st,,1,2016,27500,28300,0,0,28300,CHBE,Other,low,800,800
6062,Case Western Reserve University,EECS,0.12,2017-2018,3rd,,3,2017,2400,0,2200,200,2400,EECS,Other,low,0,0
6063,University of Delaware (UD),English,0.76,2016-2017,2nd,,2,2016,19400,0,20000,0,20000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,600,600
6064,Duke University (DU),Biomedical Engineering,1.37,2017-2018,1st,,1,2017,30550,30550,0,0,30550,Engineering,Engineering,low,0,0
6065,University of Minnesota - Twin Cities (UM),Mechanical Engineering,1.2,2017-2018,1st,,1,2017,27422,27422,0,0,27422,Engineering,Engineering,low,0,0
6066,University of Maine,Chemical and Biological Engineering,0.89,2016-2017,2nd,,2,2016,19200,20000,0,0,20000,Engineering,Engineering,low,800,800
6067,University of California - Berkeley,Bioengineering,1.44,2017-2018,1st,$36000 base stipend + $4000 relocation bonus,1,2017,40000,40000,0,0,40000,Engineering,Engineering,low,0,0
6068,University of Minnesota - Twin Cities (UM),"dept. of design, housing, and apparel",0.47,2017-2018,1st,,1,2017,10818,0,10818,0,10818,"dept. of design, housing, and apparel",Other,high,0,0
6069,Florida State University (FSU),Information Science,0.51,2016-2017,1st,,1,2016,11956,15171,0,0,15171,Information Science,Other,low,3215,3215
6071,University of California - Santa Barbara (UCSB),Earth Science,0.76,2017-2018,1st,,1,2017,20050,0,20050,0,20050,Geography,Geography,high,0,0
6072,University of Maryland - College Park (UMD),Geology,0.85,2017-2018,1st,,1,2017,25850,25850,0,0,25850,Geography,Geography,low,0,0
6073,University of Arizona (U of A),Geosciences,0.9,2017-2018,1st,,1,2017,18554,0,18554,0,18554,Geography,Geography,high,0,0
6074,University of Massachusetts Medical Center - Worcester,Graduate school of biomedical sciences,1.37,2017-2018,1st,,1,2017,31000,31000,0,0,31000,Graduate school of biomedical sciences,Other,low,0,0
6078,University of Pennsylvania,"Operations, Information and Decisions",1.53,2016-2017,1st,,1,2016,37000,37000,0,0,37000,"Operations, Information and Decisions",Other,low,0,0
6079,Arizona State University (ASU),history,0.83,2016-2017,1st,,1,2016,18500,18500,0,0,18500,HistPolSoc,HistPolSoc,low,0,0
6080,University of California - Davis (UCD),Chemical Engineering,0.5,2017-2018,1st,,1,2017,11919,29500,0,0,29500,Engineering,Engineering,low,17581,17581
6081,University of Tennessee - Knoxville,political science,0.54,2017-2018,4th,,4,2017,11500,0,11500,0,11500,HistPolSoc,HistPolSoc,high,0,0
6083,Stanford University (SU),Chemical Biology,1.24,2016-2017,1st,Rent starts at $1000/mo for 1 bedroom,1,2016,35700,41700,0,0,41700,Chemical Biology,Other,low,6000,6000
6085,Tulane University (TU),School Psychology,0.82,2017-2018,1st,,1,2017,19000,0,19000,0,19000,School Psychology,Other,high,0,0
6086,Tufts University (TU),Child Study & Human Development,0.75,2017-2018,1st,,1,2017,21000,0,21000,0,21000,Child Study & Human Development,Other,high,0,0
6087,Ohio State University (OSU),Health Behavior Health Promotion ,1.54,2017-2018,1st,,1,2017,30864,30864,0,0,30864,Health Behavior Health Promotion ,Other,low,0,0
6088,Brandeis University,English,0.86,2017-2018,1st,,1,2017,24000,0,24000,0,24000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0
6089,University of Iowa (UI),English,0.85,2017-2018,1st,,1,2017,18816,18816,0,0,18816,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
6090,Stony Brook University - SUNY,English,0.66,2017-2018,1st,,1,2017,18500,20000,0,0,20000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,1500,1500
6092,University of Minnesota - Twin Cities (UM),Sport Management (Ph.D),1.11,2017-2018,1st,,1,2017,25492,0,14492,12000,26492,Sport Management (Ph.D),Other,high,1000,1000
6093,Texas Tech University (TTU),Economics,0.75,2016-2017,1st,,1,2016,15300,0,15300,0,15300,BusinessAndManagement,BusinessAndManagement,high,0,0
6094,Texas Tech University (TTU),Economics,0.49,2016-2017,1st,,1,2016,10000,0,10000,0,10000,BusinessAndManagement,BusinessAndManagement,high,0,0
6095,University of Memphis,Ceri,0.8,2017-2018,1st,,1,2017,18000,18000,0,0,18000,Ceri,Other,low,0,0
6096,University of Texas Health Science Center - Houston,Medical Physics,1.33,2017-2018,1st,,1,2017,29000,29000,0,0,29000,Medical Physics,Other,low,0,0
6097,University of Minnesota - Twin Cities (UM),psychology,1.05,2017-2018,1st,,1,2017,24000,0,20000,4000,24000,HistPolSoc,HistPolSoc,high,0,0
6098,University at Buffalo - SUNY,Linguistics,0.91,2017-2018,1st,"$14,100 1/2 time Teaching Assistantship, $7,500 Fellowship for 4 years.  Includes 88% of individual health care insurance fees.  Must pay $2,500 in required fees.",1,2017,19100,0,21600,0,21600,LinguisticsAndCommunication,LinguisticsAndCommunication,high,2500,2500
6099,University of California - San Francisco (UCSF),Epidemiology,1.2,2016-2017,1st,Tied to ~50% effort work.,1,2016,36000,36000,0,0,36000,Medical,Medical,low,0,0
6100,University of Tulsa (TU),Anthropology,0.68,2017-2018,1st,,1,2017,13500,0,13500,0,13500,Biology,Biology,high,0,0
6101,University of Massachusetts - Amherst (UMass),Computer Science,1.33,2017-2018,1st,,1,2017,30560,32000,0,0,32000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,1440,1440
6102,Southern Methodist University (SMU),Chemistry ,1.16,2017-2018,1st,,1,2017,25000,25000,0,0,25000,Chemistry,Chemistry,low,0,0
6103,Lehigh University,Counseling Psychology,0.31,2017-2018,1st,"The first year stipend is $7,000 and then during the second and subsequent years the stipend doubles ($14,000).",1,2017,7000,7000,0,0,7000,Counseling Psychology,Other,low,0,0
6104,Tulane University (TU),Biomedical Engineering,1.29,2017-2018,1st,,1,2017,29700,30000,0,0,30000,Engineering,Engineering,low,300,300
6105,Yale University (YU),Chemical Engineering,1.38,2017-2018,1st,,1,2017,34000,34000,0,0,34000,Engineering,Engineering,low,0,0
6106,Washington University in St. Louis (Wash U),Biomedical Engineering ,1.43,2016-2017,1st,,1,2016,29500,29500,0,0,29500,Engineering,Engineering,low,0,0
6107,University of Chicago (UC),Chemistry,1.33,2016-2017,1st,,1,2016,32300,32300,0,0,32300,Chemistry,Chemistry,low,0,0
6108,Binghamton University - SUNY,Political Science,0.97,2016-2017,1st,,1,2016,20000,20000,0,0,20000,HistPolSoc,HistPolSoc,low,0,0
6110,University of Alabama (UA),History ,0.71,2017-2018,1st,,1,2017,15000,0,15000,0,15000,HistPolSoc,HistPolSoc,high,0,0
6111,University of Illinois - Urbana- Champaign (UIUC),Computer Science,1.16,2017-2018,1st,,1,2017,25600,0,25600,0,25600,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0
6112,University of Southern California (USC),Health,1.0,2016-2017,5th,,5,2016,25800,0,26000,0,26000,Health,Other,high,200,200
6113,Indiana University,Psychological & Brain Sciences,1.09,2016-2017,1st,,1,2016,23500,25000,0,0,25000,Psychological & Brain Sciences,Other,low,1500,1500
6114,Georgia Institute of Technology (Georgia Tech),Biomedical Engineering,1.05,2016-2017,4th,Health insurance and university fees not covered by department.,4,2016,24342,28000,0,0,28000,Engineering,Engineering,low,3658,3658
6115,Johns Hopkins University (JHU),Political Science,1.13,2017-2018,1st,"Full tuition, health insurance. A lot of fellowship opportunities on top of this. ",1,2017,29000,29000,0,0,29000,HistPolSoc,HistPolSoc,low,0,0
6116,Stevens Institute of Technology,ECE,0.83,2016-2017,2nd,,2,2016,22000,0,23000,0,23000,ECE,Other,high,1000,1000
6117,Pennsylvania State University (Penn State),Physiology ,1.42,2016-2017,1st,,1,2016,32000,32000,0,0,32000,Physiology ,Other,low,0,0
6118,Scripps Research Institute (SRI),Biology,1.13,2016-2017,5th,"Free premium healthcare with dental and vision, $30/month for gym fees, zero-interest $5k loan. ",5,2016,30000,30000,0,0,30000,Biology,Biology,low,0,0
6120,Carnegie Mellon University (CMU),"ISM, Heinz College",1.16,2016-2017,1st,,1,2016,24000,0,24000,0,24000,"ISM, Heinz College",Other,high,0,0
6121,University of Maryland - College Park (UMD),neuroscience and cognitive science,0.72,2017-2018,1st,,1,2017,21766,21766,0,0,21766,neuroscience and cognitive science,Other,low,0,0
6122,University of Texas - Austin (UT),chemistry,1.17,2016-2017,1st,,1,2016,26720,26720,0,0,26720,Chemistry,Chemistry,low,0,0
6123,University of Southern California (USC),History,1.12,2016-2017,3rd,,3,2016,29000,0,24000,5000,29000,HistPolSoc,HistPolSoc,high,0,0
6124,University of North Carolina - Chapel Hill (UNC),Marketing,1.27,2017-2018,1st,,1,2017,28220,30200,0,0,30200,Marketing,Other,low,1980,1980
6125,University of Missouri (MU),Journalism,1.3,2017-2018,1st,,1,2017,26800,28000,0,0,28000,Journalism,Other,low,1200,1200
6126,Emory University,Population biology ,1.25,2016-2017,1st,,1,2016,29000,30000,0,0,30000,Population biology ,Other,low,1000,1000
6127,Georgia Institute of Technology (Georgia Tech),materials science,0.9,2016-2017,3rd,,3,2016,21000,25000,0,0,25000,materials science,Other,low,4000,4000
6128,New York University (NYU),Ece,1.11,2016-2017,1st,,1,2016,33000,33000,0,0,33000,Ece,Other,low,0,0
6129,Northwestern University (NU),Anthropology,1.23,2016-2017,2nd,5-year stipend including summers. Free health insurance.  Required 'student activity' fees (110 per quarter) include u-pass for unlimited public transportation.,2,2016,29800,29800,0,0,29800,Biology,Biology,low,0,0
6130,Cornell University (CU),Tri-Institutional Program in Computational Biology and Medicine,1.53,2017-2018,1st,$2500 research allowance for first year,1,2017,37000,37000,0,0,37000,Tri-Institutional Program in Computational Biology and Medicine,Other,low,0,0
6131,University of Minnesota - Twin Cities (UM),Social Work,0.83,2016-2017,1st,,1,2016,19000,0,19000,0,19000,HistPolSoc,HistPolSoc,high,0,0
6132,Portland State University (PSU),Social Work,0.45,2016-2017,1st,,1,2016,10500,0,10500,0,10500,HistPolSoc,HistPolSoc,high,0,0
6133,University of Denver (DU),Social Work,0.71,2016-2017,1st,,1,2016,16000,0,16000,0,16000,HistPolSoc,HistPolSoc,high,0,0
6134,University of Maryland - College Park (UMD),biological sciences,1.09,2016-2017,1st,,1,2016,33000,33000,0,0,33000,biological sciences,Other,low,0,0
6135,University of North Carolina - Chapel Hill (UNC),City planning,0.72,2016-2017,5th,,5,2016,16000,0,18000,0,18000,City planning,Other,high,2000,2000
6136,University of South Florida (UCF),Electrical Engineering ,0.95,2017-2018,1st,,1,2017,20921,0,22920,0,22920,Electrical Engineering ,Other,high,1999,1999
6137,University of Delaware (UD),Biomedical Engineering,1.1,2017-2018,1st,Unsure about fees for next academic year. ,1,2017,28000,28000,0,0,28000,Engineering,Engineering,low,0,0
6138,University of Nebraska - Lincoln (NU),Complex Biosystems ,1.33,2017-2018,1st,,1,2017,26000,26000,0,0,26000,Complex Biosystems ,Other,low,0,0
6139,Northern Illinois University (NIU),English,0.64,2017-2018,1st,Not sure of fees or summer opportunities.,1,2017,14044,0,14044,0,14044,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0
6140,Georgia Institute of Technology (Georgia Tech),Materials Science and Engineering,1.03,2017-2018,1st,Received offer. Have not accepted yet.,1,2017,24004,25200,0,0,25200,Engineering,Engineering,low,1196,1196
6141,University of Tennessee - Knoxville,Energy Science and Engineering,1.35,2017-2018,1st,"Just received offer, have not yet accepted",1,2017,28725,30000,0,0,30000,Energy Science and Engineering,Other,low,1275,1275
6142,University of Kentucky (UK),Civil Engineering,0.9,2016-2017,1st,,1,2016,18440,19200,0,0,19200,Engineering,Engineering,low,760,760
6145,Columbia University (CU),Economics,1.41,2016-2017,1st,,1,2016,41925,41925,0,0,41925,BusinessAndManagement,BusinessAndManagement,low,0,0
6147,California Institute of Technology (Caltech),GPS,1.2,2016-2017,1st,,1,2016,31000,31000,0,0,31000,GPS,Other,low,0,0
6149,University of Louisville (U of L),Criminal justice ,0.87,2017-2018,1st,,1,2017,18000,18000,0,0,18000,Criminal justice ,Other,low,0,0
6150,Rensselaer Polytechnic Institute (RPI),Biochemistry and Biophysics,0.86,2017-2018,1st,,1,2017,19610,22000,0,0,22000,Biochemistry and Biophysics,Other,low,2390,2390
6153,Tufts University (TU),Mechanical Engineering,1.2,2017-2018,1st,Plus insurance is paid. $28400 plus $5000 additional grant.,1,2017,33400,33400,0,0,33400,Engineering,Engineering,low,0,0
6155,University of Georgia (UGA),Human Development and Family Science,1.14,2017-2018,1st,,1,2017,24200,27000,0,0,27000,Human Development and Family Science,Other,low,2800,2800
6156,University of Alabama - Birmingham (UAB),Anthropology - M.A.,0.46,2016-2017,1st,"U.A.B.'s masters program in Anthropology of Peace & Human Rights is a two year program paying $7,000/semester for teaching/research assistants.",1,2016,10000,0,14000,0,14000,Anthropology - M.A.,Other,high,4000,4000
6157,Iowa State University (ISU),Statistics ,1.13,2016-2017,3rd,,3,2016,24000,25200,0,0,25200,Statistics ,Other,low,1200,1200
6158,Columbia University (CU),"Middle East, African, South Asian Studies",1.13,2016-2017,5th,,5,2016,33520,0,27270,6500,33770,"Middle East, African, South Asian Studies",Other,high,250,250
6159,University of Pennsylvania,Bioengineering,1.31,2017-2018,1st,health insurance and student fees also paid for.,1,2017,31500,31500,0,0,31500,Engineering,Engineering,low,0,0
6160,Duke University (DU),Biomedical Engineering,1.37,2017-2018,1st,Health insurance and student fees covered.,1,2017,30550,30550,0,0,30550,Engineering,Engineering,low,0,0
6161,University of Maryland - College Park (UMD),Geology,0.84,2017-2018,1st,,1,2017,25300,26000,0,0,26000,Geography,Geography,low,700,700
6163,Yale University (YU),MCGD,1.42,2017-2018,1st,,1,2017,35150,35150,0,0,35150,MCGD,Other,low,0,0
6164,Northeastern University (NU),Political Science,0.75,2017-2018,1st,,1,2017,21500,21500,0,0,21500,HistPolSoc,HistPolSoc,low,0,0
6165,University of Virginia (UVA),Architecture,0.88,2017-2018,1st,"full funding of tuition, enrolment fees and health insurance",1,2017,20000,20000,0,0,20000,Architecture,Other,low,0,0
6166,Harvard University (HU),Health Policy (Management),1.43,2017-2018,1st,,1,2017,41000,41000,0,0,41000,Health Policy (Management),Other,low,0,0
6169,Tufts University (TU),Public Health,0.9,2017-2018,1st,,1,2017,25000,25000,0,0,25000,Medical,Medical,low,0,0
6171,Stanford University (SU),Education,0.05,2016-2017,1st,,1,2016,1460,40280,0,0,40280,Education,Education,low,38820,38820
6172,Georgetown University,Linguistics,0.91,2017-2018,1st,,1,2017,28000,0,28000,0,28000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0
6173,University of Pennsylvania,Political Science,1.33,2016-2017,1st,,1,2016,32000,32000,0,0,32000,HistPolSoc,HistPolSoc,low,0,0
6174,University of Massachusetts - Amherst (UMass),Classics,0.77,2017-2018,1st,,1,2017,17675,0,19175,0,19175,ArtsAndTheology,ArtsAndTheology,high,1500,1500
6175,Columbia University (CU),economics,1.07,2017-2018,1st,tax and withholding not considered,1,2017,31925,0,28290,3635,31925,BusinessAndManagement,BusinessAndManagement,high,0,0
6176,University of California - Irvine (UCI),Neuroscience ,1.44,2017-2018,1st,Special fellowship awarded ,1,2017,42000,42000,0,0,42000,Medical,Medical,low,0,0
6177,Columbia University (CU),Economics,1.41,2017-2018,1st,,1,2017,41925,41925,0,0,41925,BusinessAndManagement,BusinessAndManagement,low,0,0
6178,University of Delaware (UD),English,1.16,2017-2018,1st,Special fellowship. Tuition remission for Fall and Spring semesters. TA/RA/GA opportunities. ,1,2017,29500,29500,0,0,29500,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
6179,Northwestern University (NU),History,1.27,2017-2018,1st,Stipend paid over school year+summer @ $2565/month. Health insurance subsidy if enrolled in NU's health insurance. 19 quarters of full support--five years and four summers. Fellowship for year 1 and a second year; TA/RA for the other three years. ,1,2017,30780,30780,0,0,30780,HistPolSoc,HistPolSoc,low,0,0
6180,University of Michigan - Ann Arbor (UM),American Culture,1.11,2017-2018,1st,"Stipend paid over 10 months (1,973 per month)+tuition and health care. Summer funding for year 2 is $8000. $1000 stipend for American Culture summer workshop in late August. ",1,2017,25730,0,19730,6000,25730,American Culture,Other,high,0,0
6181,University of Connecticut (UConn),Philosophy,0.95,2017-2018,1st,,1,2017,23000,23000,0,0,23000,ArtsAndTheology,ArtsAndTheology,low,0,0
6182,Tufts University (TU),mechanical eng,1.02,2016-2017,1st,,1,2016,28440,28440,0,0,28440,mechanical eng,Other,low,0,0
6183,George Mason University (GMU),Biology,0.48,2015-2016,2nd,"6 credits of tuition waiver each semester, 100% subsidized health insurance",2,2015,14470,0,14500,0,14500,Biology,Biology,high,30,30
6184,Cornell University (CU),Biomedical Engineering,1.38,2017-2018,1st,Health insurance included.,1,2017,33536,33536,0,0,33536,Engineering,Engineering,low,0,0
6185,University of Memphis,Biomedical Sciences,1.56,2017-2018,1st,"Actually St Jude Graduate School of Biomedical Sciences in Memphis, TN. Medical insurance covered, $1500/yr for conferences not included. They are also giving me a laptop computer.",1,2017,35000,35000,0,0,35000,Medical,Medical,low,0,0
6186,University of Michigan - Ann Arbor (UM),Biomedical Engineering,1.28,2017-2018,1st,Medical insurance covered.,1,2017,29604,29604,0,0,29604,Engineering,Engineering,low,0,0
6187,Clemson University (CU),Bioengineering,1.34,2017-2018,1st,Base stipend + scholarship. Doesn't include $1000 for travel to conferences.,1,2017,28000,28000,0,0,28000,Engineering,Engineering,low,0,0
6188,University of Alabama - Birmingham (UAB),Immunology,1.35,2017-2018,1st,"30,000 after quals",1,2017,29000,29000,0,0,29000,Medical,Medical,low,0,0
6189,Case Western Reserve University,Immunology,1.45,2017-2018,1st,,1,2017,29000,29000,0,0,29000,Medical,Medical,low,0,0
6191,University of Pittsburgh,Immunology,1.38,2017-2018,1st,,1,2017,28500,28500,0,0,28500,Medical,Medical,low,0,0
6192,University of California - San Diego (UCSD),Mathematics (statistics),1.32,2017-2018,1st,"$35k 1st year ($10k from 25% TAship), then $20k 2nd5th year (all from 50% TAship).",1,2017,35000,0,35000,0,35000,Mathematics (statistics),Other,high,0,0
6194,Northern Illinois University (NIU),Chemistry,0.94,2016-2017,3rd,,3,2016,20805,23054,0,0,23054,Chemistry,Chemistry,low,2249,2249
6195,Harvard University (HU),Government,1.17,2017-2018,1st,"Health insurance and all fees are covered, one-time stipend of $2500 for professional development offered in addition to the $33.6k yearly stipend",1,2017,33624,33624,0,0,33624,HistPolSoc,HistPolSoc,low,0,0
6197,Lehigh University,industrial engineering,1.21,2016-2017,1st,,1,2016,27140,28140,0,0,28140,industrial engineering,Other,low,1000,1000
